timestamp,AccY
0.00,0.229
0.02,0.224
0.04,0.395
0.06,0.474
0.08,0.552
0.10,0.438
0.12,1.216
0.14,1.251
0.16,1.286
0.18,1.464
0.20,0.938
0.22,1.421
0.24,1.693
0.26,1.497
0.28,1.565
0.30,1.513
0.32,1.557
0.34,1.567
0.36,1.807
0.38,1.771
0.40,1.858
0.42,2.056
0.44,1.903
0.46,1.491
0.48,1.900
0.50,1.533
0.52,1.490
0.54,1.100
0.56,1.188
0.58,1.395
0.60,0.746
0.62,0.464
0.64,1.027
0.66,0.459
0.68,0.370
0.70,0.020
0.72,-0.158
0.74,-0.564
0.76,-0.487
0.78,-1.089
0.80,-0.545
0.82,-0.735
0.84,-1.163
0.86,-0.909
0.88,-0.927
0.90,-1.776
0.92,-1.031
0.94,-1.307
0.96,-1.545
0.98,-1.967
1.00,-1.606
1.02,-2.112
1.04,-1.218
1.06,-1.271
1.08,-2.079
1.10,-1.578
1.12,-1.625
1.14,-1.841
1.16,-1.380
1.18,-2.178
1.20,-1.590
1.22,-1.398
1.24,-1.167
1.26,-1.496
1.28,-0.899
1.30,-1.125
1.32,-0.635
1.34,-0.869
1.36,-0.230
1.38,-0.317
1.40,0.333
1.42,0.492
1.44,0.011
1.46,0.198
1.48,0.085
1.50,0.931
1.52,0.712
1.54,0.824
1.56,1.461
1.58,1.068
1.60,0.908
1.62,1.400
1.64,1.601
1.66,1.809
1.68,2.231
1.70,2.047
1.72,2.252
1.74,1.407
1.76,1.267
1.78,1.922
1.80,1.799
1.82,1.483
1.84,1.539
1.86,1.833
1.88,1.261
1.90,1.468
1.92,1.559
1.94,1.261
1.96,1.205
1.98,1.212
2.00,1.086
2.02,1.110
2.04,0.732
2.06,0.386
2.08,0.171
2.10,0.642
2.12,0.068
2.14,0.166
2.16,0.042
2.18,-0.218
2.20,-0.536
2.22,-0.883
2.24,-0.680
2.26,-0.721
2.28,-1.092
2.30,-1.455
2.32,-1.124
2.34,-1.341
2.36,-1.541
2.38,-1.627
2.40,-1.408
2.42,-1.907
2.44,-1.414
2.46,-2.077
2.48,-2.000
2.50,-1.660
2.52,-1.545
2.54,-1.360
2.56,-1.752
2.58,-1.662
2.60,-1.532
2.62,-1.570
2.64,-1.252
2.66,-1.332
2.68,-1.363
2.70,-1.486
2.72,-1.348
2.74,-0.798
2.76,-0.559
2.78,-0.560
2.80,-0.822
2.82,-0.447
2.84,0.121
2.86,-0.313
2.88,0.131
2.90,-0.226
2.92,0.018
2.94,0.826
2.96,0.800
2.98,0.576
3.00,1.049
3.02,1.021
3.04,1.070
3.06,1.325
3.08,1.914
3.10,1.644
3.12,1.385
3.14,1.927
3.16,2.140
3.18,1.199
3.20,1.515
3.22,2.058
3.24,1.664
3.26,1.871
3.28,1.494
3.30,2.002
3.32,1.556
3.34,1.302
3.36,1.616
3.38,1.103
3.40,0.517
3.42,1.539
3.44,0.749
3.46,0.789
3.48,0.792
3.50,0.751
3.52,0.358
3.54,0.209
3.56,0.277
3.58,0.083
3.60,0.046
3.62,-0.138
3.64,-0.964
3.66,-0.719
3.68,-0.946
3.70,-1.080
3.72,-1.374
3.74,-1.198
3.76,-1.077
3.78,-1.113
3.80,-1.270
3.82,-1.136
3.84,-1.706
3.86,-1.901
3.88,-1.995
