frame,team,id,x,y
0,ball,0,0.0,19.3
0,home,1,-45.7,2.2
0,home,2,-28.6,-21.9
0,home,3,-29.0,-10.0
0,home,4,-30.8,5.0
0,home,5,-33.2,19.7
0,home,6,-15.1,-20.3
0,home,7,-15.4,-5.1
0,home,8,-14.2,10.0
0,home,9,-11.9,22.4
0,home,10,8.3,-9.5
0,home,11,9.5,8.3
0,away,1,51.2,-1.8
0,away,2,33.5,-25.0
0,away,3,31.1,-10.5
0,away,4,29.1,7.4
0,away,5,28.5,23.6
0,away,6,9.5,-17.1
0,away,7,11.7,-4.4
0,away,8,14.0,7.8
0,away,9,15.4,18.5
0,away,10,-2.8,7.1
0,away,11,-4.6,-12.7
1,ball,0,0.3,19.7
1,home,1,-45.6,2.1
1,home,2,-28.5,-22.0
1,home,3,-29.0,-10.1
1,home,4,-30.8,5.0
1,home,5,-33.2,19.8
1,home,6,-15.0,-20.2
1,home,7,-15.4,-5.1
1,home,8,-14.1,10.0
1,home,9,-11.8,22.4
1,home,10,8.4,-9.6
1,home,11,9.5,8.2
1,away,1,51.1,-1.8
1,away,2,33.4,-25.0
1,away,3,31.0,-10.4
1,away,4,29.0,7.5
1,away,5,28.5,23.7
1,away,6,9.5,-17.1
1,away,7,11.7,-4.5
1,away,8,14.0,7.7
1,away,9,15.3,18.5
1,away,10,-2.9,7.1
1,away,11,-4.7,-12.6
2,ball,0,0.6,20.0
2,home,1,-45.5,2.1
2,home,2,-28.4,-22.0
2,home,3,-28.9,-10.1
2,home,4,-30.8,5.0
2,home,5,-33.2,19.8
2,home,6,-15.0,-20.2
2,home,7,-15.3,-5.0
2,home,8,-13.9,10.0
2,home,9,-11.6,22.3
2,home,10,8.6,-9.7
2,home,11,9.6,8.2
2,away,1,51.0,-1.9
2,away,2,33.2,-25.0
2,away,3,30.8,-10.4
2,away,4,28.9,7.5
2,away,5,28.4,23.7
2,away,6,9.5,-17.1
2,away,7,11.7,-4.5
2,away,8,14.0,7.7
2,away,9,15.3,18.4
2,away,10,-3.1,7.1
2,away,11,-4.8,-12.6
3,ball,0,0.8,20.3
